loc_rowid,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_dens,st_dist,gaia_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_rvamp,pl_eqt,pl_bmasse,pl_rade,pl_trandep,pl_trandur,pl_mnum,st_radv,st_logg,st_lum,st_dens,st_metfe,st_age,st_vsini
77,2,9.24285000,0.090000,0.590000,88.210,,864.31,864.31,14.660,14.469,,1.14,,467.000,,1366.66900,,,,0,60.62,,,,,,4.5000
78,2,1675.00000000,2.900000,0.600000,,,864.31,864.31,14.660,14.469,,1.14,,326.000,,5403.11000,,,,0,60.62,,,,,,4.5000
79,1,2.72474000,0.041700,0.000000,86.800,1.36000,1398.83,1398.83,16.000,15.856,6200.00,1.29,1.95,274.000,,718.29580,14.572,,0.1983333,0,101.00,3.70,,0.2550,0.000,4.100,11.0000
80,1,9.75598000,0.092000,0.077000,89.749,0.24900,592.00,638.47,13.944,13.730,5939.00,1.10,1.14,3.700,885,12.20000,4.880,,0.1872000,0,,4.36,,1.0270,0.170,3.300,4.0000
81,1,3.63130000,0.048000,0.160000,85.700,3.00000,600.00,1092.40,15.630,15.068,5900.00,1.14,1.61,377.000,1660,889.90000,11.770,,0.1620000,0,-35.18,4.30,,0.5000,0.050,7.200,9.0000
82,2,5.11340000,0.056000,0.000000,86.500,0.90000,600.00,601.22,,15.180,4950.00,0.91,0.86,2.100,1070,5.70000,3.700,,0.1188000,0,51.37,4.55,,,0.300,11.000,2.0000
83,2,11.75900000,0.098000,0.000000,89.000,1.30000,600.00,601.22,,15.180,4950.00,0.91,0.86,8.300,850,28.00000,5.000,,0.2000000,0,51.37,4.55,,,0.300,11.000,2.0000
84,1,4.86069000,0.057800,0.000000,84.500,0.15000,1000.00,1137.85,,14.711,6040.00,1.09,1.19,29.000,1330,85.81000,12.110,,0.0800000,0,-15.42,4.31,,,-0.010,4.500,4.3000
85,1,4.20474000,0.052600,0.000000,86.800,0.28000,1670.00,,,15.468,5590.00,1.09,1.79,61.000,1600,165.26000,14.120,,0.2279000,0,15.51,3.99,,,0.010,8.600,2.0000
86,1,3.57532000,0.047600,0.065000,86.700,12.60000,1035.15,1035.15,15.540,15.390,5900.00,1.05,1.08,1326.000,1500,3302.11000,11.287,,0.1154000,0,-4.09,4.40,,1.2400,-0.100,4.210,4.0000
87,1,5.20851000,0.060300,0.047000,88.100,0.69000,560.00,783.18,,13.412,5150.00,1.01,1.78,56.400,,153.82972,10.705,,0.2375000,0,,3.60,,0.2700,0.150,12.000,3.0000
88,1,2.85057000,0.038600,0.082000,87.300,1.45000,765.00,822.62,,15.239,5260.00,0.97,0.90,125.000,,270.15550,10.088,,0.0912500,0,,4.30,,1.8250,0.200,4.500,3.5000
89,1,4.25680000,,0.000000,85.900,26.40000,680.00,784.49,13.292,13.219,6740.00,1.37,1.56,,,6883.91000,11.320,,,0,-56.16,4.22,,,,2.200,17.0000
90,1,9.20205000,0.090000,0.000000,90.000,0.52500,741.60,741.60,,13.561,6190.00,1.16,1.17,63.000,1074,228.83000,13.340,,,0,32.30,4.41,,,,1.000,6.4000
91,1,4.03789620,0.049470,0.090000,85.830,0.21700,904.65,904.65,,13.902,6100.00,1.00,1.19,59.100,1438,148.42000,15.558,1.461000,,0,,4.19,,,-0.250,6.900,1.0000
92,1,8.88659300,0.085500,0.100000,89.070,2.32000,657.24,657.24,13.912,13.746,6090.00,1.05,1.02,280.000,1017,940.74000,13.068,,0.1700000,0,-18.24,4.43,,,-0.200,,7.6000
93,2,0.85359163,,0.000000,80.100,,160.64,160.64,11.668,11.524,5275.00,0.82,0.83,3.100,,3.17830,1.681,0.035000,,0,31.17,4.50,,2.0000,0.050,,3.5000
94,2,3.69800000,0.046000,0.000000,80.000,,160.64,160.64,11.668,11.524,5275.00,0.82,0.83,4.000,,8.40000,,,,0,31.17,4.50,,2.0000,0.050,,3.5000
95,1,6.21229000,0.063000,0.000000,88.400,1.60000,380.00,325.03,14.800,14.220,5080.00,0.88,0.77,26.000,,69.92000,6.390,0.651000,0.1142000,0,-37.47,4.58,,2.7000,0.300,3.000,2.0000
96,1,95.27265600,0.402100,0.133000,89.900,0.86000,417.89,417.89,13.690,13.501,5625.00,0.96,0.96,39.000,420,266.97720,11.949,,0.3445000,0,19.82,4.54,,1.5100,-0.010,6.000,3.5000
97,1,6.71837000,0.071000,,89.000,1.10000,586.20,586.20,,13.587,5970.00,1.08,0.79,14.000,938,47.67450,6.389,0.290000,0.1040000,0,,4.67,-0.155,,0.000,,3.2000
98,1,4098.10000000,5.750000,0.000000,86.000,,30.55,30.55,,11.975,,0.51,,,,3823.27330,,,,0,,,,,,,
99,1,246.36000000,0.360000,0.345000,56.600,,20.77,20.67,,18.558,,0.07,,,,9057.77000,,,,0,,,,,,1.000,
100,1,,330.000000,,,,140.00,135.35,,12.496,,0.33,0.27,,,3496.00000,,,,0,,,,,,0.001,
101,1,10220.00000000,8.190000,0.390000,,,305.06,305.06,,18.633,13500.00,,0.01,,,1922.79000,,,,0,,,,,,,
102,1,8.13826800,,0.000000,89.500,,44.12,44.12,8.469,8.319,5428.00,1.01,0.96,,850,,5.700,0.293600,0.1323500,0,8.05,,-0.140,2.4000,0.000,0.045,17.8000
103,1,28.16560000,,,,,159.98,159.98,14.904,15.261,,0.41,,,,,1.870,,,0,,,,,,,
104,1,2.13174000,,,,,254.88,254.88,14.102,13.737,,0.78,,,,,0.692,,,0,,,,,,,
105,2,3.80464000,,,,,481.00,483.38,12.074,11.946,,1.07,,,,,1.220,,,0,,,,,,,
106,3,2.71578000,,,,,338.19,338.19,14.670,14.323,,0.67,,,,,1.030,,,0,,,,,,,2.0000
107,2,3.96151000,,,,,259.33,259.33,14.717,14.258,,0.61,,,,,1.000,,,0,,,,,,,
108,1,4.16959000,,,,,441.94,441.94,14.867,14.589,,0.80,,,,,1.100,,,0,,,,,,,
109,2,8.05072200,,,89.810,,245.56,245.56,12.291,12.098,5502.70,0.88,0.83,,961,,1.310,,,0,-10.09,,,,,,
110,1,4.50756000,,,,,373.81,373.81,13.116,12.968,,0.93,,,,,1.700,,,0,,,,,,,
111,1,2.87814000,,,,,162.09,162.09,15.782,16.069,,0.22,,,,,1.010,,,0,,,,,,,
112,1,5.29711000,,,,,457.27,457.27,16.743,15.975,,0.56,,,,,1.620,,,0,,,,,,,
113,1,2.25372000,,,,,110.22,110.22,15.598,16.172,,0.41,,,,,0.900,,,0,,,,,,,
114,1,1.58252000,,,,,317.20,317.20,14.051,13.774,,0.71,,,,,0.960,,,0,,,,,,,
115,1,21.16986100,0.131000,0.060000,89.730,,187.19,187.19,15.256,14.526,4148.21,0.66,0.57,,,,1.980,,,0,34.85,,,,,,2.6000
116,1,19.49221000,0.149300,,,,182.69,182.64,10.154,10.051,6069.00,1.17,1.39,,817,,5.760,,,0,1.26,4.22,,2.2530,0.100,,4.0000
117,1,2.28943000,,,,,423.35,423.35,14.423,14.186,,0.83,,,,,1.323,,,0,,,,,,,
118,1,18.09830000,,,,,622.67,622.67,13.354,13.203,,1.11,,,,,2.170,,,0,,,,,,,
119,1,34.88500000,,,,,285.61,285.61,13.552,13.312,,0.91,,,,,1.600,,,0,,,,,,,
120,1,15.28410000,,,,,322.88,322.88,12.487,12.204,,0.95,,,,,1.120,,,0,,,,,,,
121,2,13.60300000,0.098000,0.200000,89.071,,347.45,339.46,14.836,14.478,4684.00,0.69,0.67,,536,,2.586,0.110000,0.1240000,0,-16.00,4.62,,3.1900,-0.137,,
122,2,65.55000000,0.280000,0.200000,89.630,,347.45,339.46,14.836,14.478,4684.00,0.69,0.67,,316,,2.690,0.110000,0.1920000,0,-16.00,4.62,,3.1900,-0.137,,
123,2,0.70531000,,,,,502.28,503.46,14.042,13.818,,0.94,,,,,1.480,,,0,,,,,,,
124,2,0.57133100,0.013400,,,,246.10,246.29,12.102,11.954,5617.00,0.97,0.98,,2119,,1.820,,,0,-15.86,4.45,,,0.130,,2.8000
125,2,13.33907900,0.109100,,,,246.10,246.29,12.102,11.954,5617.00,0.97,0.98,,741,,2.730,,,0,-15.86,4.45,,,0.130,,2.8000
126,1,6.18023500,0.072290,,86.210,3.10000,336.70,375.39,11.439,11.255,6202.00,1.32,1.59,270.000,1401,953.49000,11.781,0.464000,0.1711700,0,36.85,4.16,0.526,0.4650,0.141,3.020,74.9200
127,1,3650.00000000,4.500000,0.000000,89.870,,560.00,560.71,12.416,12.172,4898.00,0.90,2.70,,183,4131.79000,12.442,0.180000,2.2333333,0,30.58,3.52,,0.0640,-0.230,,
128,1,,800.000000,,,,140.00,133.50,,20.480,2838.00,0.05,,,2375,5085.28000,,,,0,,,-0.699,,,0.001,
129,1,555530.00000000,160.000000,0.870000,55.000,,7.70,,1.160,,,1.92,,,,,,,,0,,,,,,,3.9000
130,2,1.62893100,0.015300,0.220000,,6.30000,12.62,12.62,13.490,12.138,3270.00,0.18,0.21,2.850,529,1.66000,,,,0,35.08,,-2.359,,,,2.0000
131,2,8.92900000,0.047600,0.270000,,,12.62,12.62,13.490,12.138,3270.00,0.18,0.21,2.570,300,2.64000,,,,0,35.08,,-2.359,,,,2.0000
132,2,41.38000000,0.166000,0.380000,,,11.02,11.02,11.920,10.577,3264.00,0.35,0.40,38.370,,96.70000,,,,0,-9.10,,-1.699,,,,
133,2,532.58000000,0.912000,0.342000,,,11.02,11.02,11.920,10.577,3264.00,0.35,0.40,11.340,,68.06000,,,,0,-9.10,,-1.699,,,,
134,1,1.58040456,0.014110,,88.170,1.49000,14.65,14.65,15.100,13.009,3026.00,0.15,0.22,12.200,,6.26125,2.847,,,0,-21.10,4.94,,,0.390,,2.0000
135,1,3.65110000,0.026000,0.040000,,,10.26,10.26,13.570,12.081,3236.00,0.18,0.19,9.890,,7.40000,,,,0,-24.30,5.09,-2.439,,-0.040,,2.0000
136,2,35.61253000,0.191500,0.188000,89.330,7.00000,16.33,16.33,7.870,7.679,4640.00,0.73,0.69,5.510,422,22.70000,2.610,,0.1345833,0,59.46,4.61,-0.686,3.0300,0.003,3.800,
137,2,11.44070000,0.072000,0.094000,,,3.56,3.56,8.080,7.216,3607.00,0.38,0.38,1.680,,3.03000,,,,0,11.51,4.87,-1.655,,-0.340,,1.0900
138,2,7600.00000000,5.400000,0.270000,,,3.56,3.56,8.080,7.216,3607.00,0.38,0.38,2.500,,36.00000,,,,0,11.51,4.87,-1.655,,-0.340,,1.0900
139,1,5.23540000,0.053000,0.060000,,,25.88,25.88,9.680,9.202,4347.00,0.69,,4.580,,10.20000,,,,0,24.87,,-0.796,,,,
140,3,8.63182000,0.060700,0.073000,,,15.14,15.14,11.810,10.677,3500.00,0.40,,6.130,,10.60000,,,,0,58.60,,-1.708,,0.100,6.000,
141,3,25.63058000,0.125400,0.099000,,,15.14,15.14,11.810,10.677,3500.00,0.40,,2.750,,6.80000,,,,0,58.60,,-1.708,,0.100,6.000,
142,3,603.95116000,1.030400,0.373000,,,15.14,15.14,11.810,10.677,3500.00,0.40,,4.420,,29.40000,,,,0,58.60,,-1.708,,0.100,6.000,
143,1,2288.00000000,2.410000,0.210000,,,12.36,12.36,12.000,10.706,3370.00,0.36,0.38,25.800,,260.61000,,,,0,,4.83,-1.796,,0.300,,1.5000
144,2,17.38000000,0.103000,0.110000,,,11.94,11.94,10.910,9.934,3371.00,0.43,,3.330,,8.30000,,,,0,-15.07,,-1.886,,,,
145,2,24.32900000,0.129000,0.090000,,,11.94,11.94,10.910,9.934,3371.00,0.43,,2.310,,6.40000,,,,0,-15.07,,-1.886,,,,
146,1,471.00000000,0.970000,0.100000,,,5.76,5.76,8.140,7.307,3564.00,0.58,,3.830,,32.00000,,,,0,4.02,,-1.553,,,,1.0000
147,1,15.81900000,0.101000,0.080000,,,23.62,23.62,11.420,10.579,3542.00,0.53,,4.900,,13.00000,,,,0,11.85,,-1.585,,,,
148,2,18.64980000,0.091101,0.100000,,,3.80,,9.872,,3382.00,0.29,0.29,1.610,,2.89000,,,,0,18.41,,-2.056,,0.090,,
149,2,4.72340000,0.036467,0.170000,,,3.80,,9.872,,3382.00,0.29,0.29,1.060,,1.18000,,,,0,18.41,,-2.056,,0.090,,
150,1,133.71000000,0.490000,0.511000,,,17.56,17.56,6.590,6.394,5540.00,0.90,0.90,167.000,350,1071.04000,,,,0,-5.81,4.70,-0.180,,0.100,,5.5000
151,3,1.22003000,0.019700,0.190000,,,28.49,28.49,10.980,10.192,3717.00,0.68,0.50,1.430,,1.78000,,,,0,13.60,,-1.347,,-0.300,,
152,3,5.97400000,0.057000,0.110000,,,28.49,28.49,10.980,10.192,3717.00,0.68,0.50,1.930,,4.18000,,,,0,13.60,,-1.347,,-0.300,,
153,3,257.80000000,0.698000,0.320000,,,28.49,28.49,10.980,10.192,3717.00,0.68,0.50,1.470,,10.50000,,,,0,13.60,,-1.347,,-0.300,,
154,2,692.00000000,1.150000,0.110000,45.000,,15.10,15.20,11.970,10.754,3510.00,0.42,,75.200,,794.50000,,,,0,87.80,,,,0.360,5.000,
155,2,5312.00000000,,0.308000,,,15.10,15.20,11.970,10.754,3510.00,0.42,,30.000,,489.45820,,,,0,87.80,,,,0.360,5.000,
156,1,4100.00000000,4.500000,0.370000,,,20.54,20.54,9.970,9.286,3900.00,0.69,,40.000,,731.00000,,,,0,,,,,0.000,,
157,4,30.59870000,0.143390,0.060000,,,20.20,20.20,11.962,10.979,3466.00,0.42,0.40,8.603,,23.54000,,,,0,13.30,,-1.658,,0.020,,
158,4,122.61960000,0.361750,0.110000,,,20.20,20.20,11.962,10.979,3466.00,0.42,0.40,4.891,,21.09000,,,,0,13.30,,-1.658,,0.020,,
159,4,48.13450000,0.193940,0.120000,,,20.20,20.20,11.962,10.979,3466.00,0.42,0.40,2.420,,7.60000,,,,0,13.30,,-1.658,,0.020,,
160,4,13.25430000,0.082080,0.210000,,,20.20,20.20,11.962,10.979,3466.00,0.42,0.40,1.658,,3.28000,,,,0,13.30,,-1.658,,0.020,,
