loc_rowid,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_dens,st_dist,gaia_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_rvamp,pl_eqt,pl_bmasse,pl_rade,pl_trandep,pl_trandur,pl_mnum,st_radv,st_logg,st_lum,st_dens,st_metfe,st_age,st_vsini
566,3,962.00000000,1.760000,0.280000,,,26.90,26.90,8.400,8.092,4918.00,0.63,0.79,16.200,,203.00000,,,,0,40.21,4.45,,,0.380,,1.5000
567,3,2172.00000000,3.000000,0.480000,,,26.90,26.90,8.400,8.092,4918.00,0.63,0.79,11.300,,171.00000,,,,0,40.21,4.45,,,0.380,,1.5000
568,1,956.00000000,1.850000,0.260000,,,60.31,60.31,7.849,7.675,5736.00,1.03,1.50,8.400,,127.13200,,,,0,-45.34,4.09,,,-0.620,,1.5000
569,2,626.51599000,1.490000,0.360000,,,54.28,54.28,7.861,7.718,5948.00,1.31,1.23,84.000,,1255.42850,,,,0,-50.70,4.37,,,0.290,,1.6000
570,2,3070.00000000,4.350000,0.239000,,,54.28,54.28,7.861,7.718,5948.00,1.31,1.23,46.300,,1134.61000,,,,0,-50.70,4.37,,,0.290,,1.6000
571,1,6.83776000,0.077000,0.229000,,,52.07,52.07,6.670,6.518,5923.00,1.30,2.00,93.300,,321.00830,,,,0,0.62,3.92,,,,,6.1000
572,1,1019.74000000,2.100000,0.251000,,,45.96,45.96,7.225,7.075,6117.00,1.19,1.27,15.390,,265.70588,,,,0,14.90,4.28,,,0.120,2.747,5.1000
573,2,3.09658280,0.042600,0.010300,,,46.02,46.02,7.832,7.673,5830.00,1.00,,69.400,,166.21800,,,,0,-17.60,,0.130,,0.160,,2.1000
574,2,3810.00000000,4.890000,0.252000,,,46.02,46.02,7.832,7.673,5830.00,1.00,,25.500,,632.46000,,,,0,-17.60,,0.130,,0.160,,2.1000
575,1,766.00000000,1.820000,0.040000,,,163.37,163.37,7.810,7.555,4940.00,1.36,5.13,61.000,,1080.62200,,,,0,-13.49,3.09,,,,,2.9800
576,1,461.20000000,1.203000,0.137000,,,50.74,50.74,8.234,8.066,5746.00,1.09,,37.600,,476.72000,,,,0,-0.40,4.45,,,0.289,,0.0000
577,1,2.21857567,,0.000000,85.710,,19.78,19.78,7.670,7.414,5052.00,0.79,0.75,205.000,,359.14790,12.666,2.400000,,0,-2.36,4.49,,2.6500,-0.020,,3.5000
578,2,2915.03687000,3.970000,0.310000,,,16.01,16.01,5.730,5.534,5552.00,0.99,1.14,23.200,,489.45820,,,,0,-45.35,4.32,,,0.240,,2.2000
579,2,17.11100000,0.130400,0.237000,,,16.01,16.01,5.730,5.534,5552.00,0.99,1.14,4.840,,19.06900,,,,0,-45.35,4.32,,,0.240,,2.2000
580,1,1176.45000000,2.231000,0.224000,,,54.56,54.56,7.779,7.594,5656.00,1.07,1.38,37.510,,630.89255,,,,0,-40.80,4.16,,,0.230,7.957,1.0000
581,1,4885.00000000,5.500000,0.570000,,,148.81,148.81,8.760,8.611,5988.00,0.91,1.53,48.000,,985.20000,,,,0,20.27,4.02,0.430,,-0.480,,3.4000
582,1,1606.30000000,2.800000,0.259000,,,65.79,65.79,8.084,7.933,6010.00,1.14,,140.500,,2707.91160,,,,0,-15.36,4.45,0.348,,0.300,2.900,3.3000
583,1,24.35560000,0.150000,0.050000,,,19.65,19.65,7.790,7.496,4976.00,0.66,0.74,51.900,,177.98480,,,,0,-10.69,4.51,,,0.030,,1.0000
584,2,74.72000000,0.320000,0.130000,90.000,,8.80,8.80,5.730,5.453,5166.00,0.80,,3.000,355,16.90000,,,,0,-54.22,4.51,-0.415,,-0.040,7.810,3.0000
585,2,525.80000000,1.180000,0.320000,90.000,,8.80,8.80,5.730,5.453,5166.00,0.80,,2.270,185,24.00000,,,,0,-54.22,4.51,-0.415,,-0.040,7.810,3.0000
586,1,340.94000000,1.063000,0.082000,,,72.01,72.01,6.440,6.206,5041.00,1.38,4.41,49.300,,666.17168,,,,0,13.20,3.25,,,,,1.9000
587,1,18.20132000,0.140000,0.010000,,,37.71,37.71,6.870,6.729,5751.00,1.21,1.48,271.500,,1264.96340,,,,0,-93.10,4.18,,,0.050,,2.4700
588,1,1378.00000000,2.510000,0.230000,,,50.75,50.75,7.500,7.341,5879.00,1.31,1.42,49.700,,1010.69940,,,,0,60.90,4.25,,,0.210,,3.2700
589,1,3638.00000000,5.020000,0.660000,,,39.98,39.98,6.030,6.326,6017.00,1.29,1.73,104.000,,2192.90000,,,,0,-10.89,4.24,0.572,,0.180,3.300,1.4500
590,1,1333.00000000,2.370000,0.480000,,,34.20,34.20,6.398,6.257,6254.00,1.28,1.31,53.900,,819.97000,,,,0,-31.67,4.31,0.380,,0.220,3.120,7.8000
591,1,1035.70000000,2.070000,0.220000,,,33.00,33.23,6.809,6.671,6150.00,1.11,,15.500,,251.00000,,,,0,8.40,4.40,,,-0.200,1.900,4.0000
592,1,466.20000000,1.305000,0.063000,,,22.54,22.54,5.060,4.885,6188.00,1.36,,29.300,,435.41000,,,,0,19.00,,,,0.270,,8.6000
593,2,11.84820000,0.097400,0.360000,,,43.80,41.88,8.390,8.192,5494.00,0.88,,3.840,,11.66000,,,,0,-16.17,4.41,-0.143,,0.040,,1.9000
594,2,33.92390000,0.196400,0.100000,,,43.80,41.88,8.390,8.192,5494.00,0.88,,3.150,,14.44000,,,,0,-16.17,4.41,-0.143,,0.040,,1.9000
595,2,606.30000000,1.565000,0.087000,,,72.74,72.74,6.480,6.232,4982.00,1.39,4.92,30.900,,508.21017,,,,0,-71.68,3.22,,,,,2.2800
596,2,852.50000000,1.960000,0.243000,,,72.74,72.74,6.480,6.232,4982.00,1.39,4.92,21.500,,385.84562,,,,0,-71.68,3.22,,,,,2.2800
597,1,1260.00000000,2.410000,0.220000,7.700,,46.03,46.03,8.080,7.911,5760.00,1.27,1.03,41.000,,5689.15700,,,,0,14.72,4.51,,,0.340,,2.3000
598,2,517.80000000,1.566000,0.011000,90.000,,189.56,189.56,8.230,7.959,5040.00,1.91,6.43,34.100,,634.38868,,,,0,-33.17,3.11,1.369,,0.020,1.320,2.0000
599,2,946.60000000,2.342000,0.028000,90.000,,189.56,189.56,8.230,7.959,5040.00,1.91,6.43,25.300,,592.43512,,,,0,-33.17,3.11,1.369,,0.020,1.320,2.0000
600,1,3.30895800,0.052080,0.038000,84.510,0.34300,147.20,162.19,,8.227,6272.00,1.72,2.59,96.400,2132,323.23311,17.318,0.375500,0.2346000,0,-17.71,3.85,0.971,0.1400,0.300,1.700,
601,1,,487.100000,,,,39.29,39.29,8.425,8.247,,,,,1206,7656.09700,,,,0,-17.00,,,,,0.220,6.0000
602,1,1552.90000000,2.730000,0.289000,,,72.79,72.79,8.230,8.077,5780.00,1.12,1.33,133.600,,2479.07400,,,,0,-61.78,,0.250,,0.190,5.220,1.0000
603,1,1120.00000000,2.200000,0.710000,,,85.90,85.90,9.000,8.860,5945.00,1.23,1.19,153.000,,1999.15070,,,,0,8.40,4.38,,,0.300,,3.2500
604,2,1920.09998000,3.070000,0.230000,,,47.86,47.86,7.990,7.832,5783.00,1.03,1.10,57.000,,1099.69180,,,,0,-9.74,4.37,,,0.160,,2.4000
605,2,34.90500000,0.209900,0.155000,,,47.86,47.86,7.990,7.832,5783.00,1.03,1.10,3.420,,17.60000,,,,0,-9.74,4.37,,,0.160,,2.4000
606,1,1733.00000000,2.550000,0.370000,,,28.74,28.74,8.450,8.191,5026.00,0.58,0.78,5.900,,73.10090,,,,0,32.57,4.42,,,-0.190,,
607,1,279.80000000,0.896000,0.270000,,,92.74,92.74,8.560,8.420,6176.00,1.22,1.33,42.000,,435.41000,,,,0,,4.29,0.360,,0.190,2.840,4.4800
608,1,96.04500000,0.461000,0.230000,,,75.40,75.40,7.618,,5635.00,1.42,,3.920,,34.20000,,,,0,-3.64,,,,,,2.0000
609,1,673.20000000,1.740000,0.100000,,,147.78,147.78,8.340,8.065,4842.00,1.55,6.12,35.400,,647.10188,,,,0,-18.31,3.22,,,,,
610,4,5.31350000,0.052900,0.100000,,,35.37,36.01,8.480,8.237,5256.00,0.70,,0.910,,1.93000,,,,0,40.31,4.37,-0.310,,-0.110,,1.1000
611,4,13.89050000,0.100400,0.090000,,,35.37,36.01,8.480,8.237,5256.00,0.70,,1.810,,5.33000,,,,0,40.31,4.37,-0.310,,-0.110,,1.1000
612,4,29.15800000,0.164700,0.110000,,,35.37,36.01,8.480,8.237,5256.00,0.70,,2.820,,10.61000,,,,0,40.31,4.37,-0.310,,-0.110,,1.1000
613,4,85.50730000,0.337400,0.060000,,,35.37,36.01,8.480,8.237,5256.00,0.70,,2.600,,14.03000,,,,0,40.31,4.37,-0.310,,-0.110,,1.1000
614,1,597.06430000,1.364900,0.950000,,,36.02,36.02,7.400,7.193,5790.00,1.07,1.11,118.430,,472.83000,,,,0,39.50,4.38,,,-0.060,,1.7000
615,2,160.07000000,0.586000,0.197000,,,59.03,59.03,8.780,8.612,5726.00,1.05,0.89,20.730,,177.98480,,,,0,-16.70,,-0.110,,0.140,1.360,3.0000
616,2,1155.70000000,2.112000,0.270000,,,59.03,59.03,8.780,8.612,5726.00,1.05,0.89,15.300,,232.01590,,,,0,-16.70,,-0.110,,0.140,1.360,3.0000
617,4,18.31500000,0.120700,0.000000,90.000,,6.00,6.00,4.270,3.981,5401.00,0.70,,0.830,660,2.70000,,,,0,87.95,4.22,,,-0.400,5.760,3.0000
618,4,40.11400000,0.203600,0.000000,90.000,,6.00,6.00,4.270,3.981,5401.00,0.70,,0.560,508,2.40000,,,,0,87.95,4.22,,,-0.400,5.760,3.0000
619,4,90.30900000,0.349900,0.000000,90.000,,6.00,6.00,4.270,3.981,5401.00,0.70,,0.850,388,4.80000,,,,0,87.95,4.22,,,-0.400,5.760,3.0000
620,4,147.02000000,0.509000,0.290000,,,6.00,6.00,4.270,3.981,5401.00,0.70,,0.690,,4.77000,,,,0,87.95,4.22,,,-0.400,5.760,3.0000
621,1,130.08000000,0.524000,0.240000,,,44.00,45.21,7.471,7.332,6067.00,1.13,,19.700,,165.26500,,,,0,5.30,4.33,,,0.022,,4.6100
622,1,875.50000000,2.100000,0.080000,,,314.48,314.48,6.400,5.597,4035.00,1.60,51.10,155.400,,3146.40000,,,,0,4.79,1.40,,,-0.090,2.000,3.6000
623,1,380.85001000,0.950000,0.750000,,,47.79,47.79,9.920,9.613,4802.00,0.39,0.76,100.300,,397.28750,,,,0,46.12,4.26,,,0.050,,1.1000
624,1,352.70000000,1.050000,0.070000,,,64.68,67.62,6.510,6.232,4860.00,1.25,4.98,34.700,,444.96200,,,,0,-14.58,3.13,1.090,,0.210,,3.9000
625,1,3.52474859,,0.000000,86.710,,48.37,48.37,7.632,7.509,6091.00,1.23,1.19,84.700,,232.01590,15.581,1.500000,,0,-14.90,4.45,,1.0400,0.010,,4.5000
626,1,649.91800000,1.487000,0.240000,,,42.25,42.25,7.823,,5790.00,1.04,,11.400,,153.10000,,,,0,3.99,,,,,,2.0000
627,1,442.19000000,1.130000,0.480000,,,21.31,21.31,6.530,6.343,5538.00,1.01,1.07,38.900,,410.00070,,,,0,-21.10,4.38,,,0.220,,1.8000
628,1,354.10000000,1.148000,0.028000,,,54.28,54.28,5.930,5.664,4951.00,1.61,4.92,37.800,,574.63664,,,,0,16.39,3.28,,,,,1.9900
629,1,1558.00000000,2.656000,0.680000,,,64.76,64.76,8.590,8.418,5652.00,1.03,1.13,15.600,,212.94610,,,,0,-36.58,,0.070,,0.170,,
630,1,25.20100000,0.143000,0.150000,,,13.00,13.13,8.990,,4127.00,0.61,,4.020,,13.00000,,,,0,-5.60,,,,,,
631,1,2.24571000,0.030000,0.000000,,,54.32,54.32,7.764,7.635,6239.00,1.55,1.16,59.500,,162.09330,,,,0,4.80,4.50,,,0.180,,7.0000
632,1,380.70000000,1.190000,0.076000,,,111.51,111.51,7.600,7.352,5003.00,1.56,5.27,50.000,,759.61370,,,,0,14.99,3.31,,,,,
633,1,882.70001000,1.890000,0.420000,,,40.92,40.92,6.814,6.658,5979.00,1.57,1.51,96.600,,1773.49140,,,,0,-0.50,4.27,,,0.150,,4.0000
634,2,1.00803500,0.020120,0.000000,80.090,9.15000,47.97,48.16,7.996,7.802,5978.00,1.07,1.10,5.300,2128,8.83000,1.745,0.020000,,0,36.22,4.38,0.139,1.1270,-0.040,3.800,3.0000
635,2,4.78503000,0.056798,0.000000,,,47.97,48.16,7.996,7.802,5978.00,1.07,1.10,7.260,1265,19.95000,,,,0,36.22,4.38,0.139,1.1270,-0.040,3.800,3.0000
636,1,84.28800000,0.362000,0.400000,,,29.16,29.16,7.885,,5605.00,0.89,,11.477,,65.90000,,,,0,17.82,,,,,,2.0000
637,1,1854.40000000,3.230000,0.164100,,,101.66,101.66,8.060,7.916,5933.00,1.31,2.04,285.470,,6451.94900,,,,0,-44.50,,0.670,,0.140,4.340,5.7000
638,4,5.75999000,0.057638,0.000000,,,21.61,21.61,8.110,7.802,4935.00,0.77,0.73,0.772,,1.81900,,,,0,-13.80,4.40,,,-0.100,,3.3500
639,4,7.28243000,0.067393,0.000000,,,21.61,21.61,8.110,7.802,4935.00,0.77,0.73,0.675,,1.72000,,,,0,-13.80,4.40,,,-0.100,,3.3500
640,4,10.86499000,0.087990,0.000000,,,21.61,21.61,8.110,7.802,4935.00,0.77,0.73,0.963,,2.80100,,,,0,-13.80,4.40,,,-0.100,,3.3500
641,4,25.19670000,0.154170,0.000000,,,21.61,21.61,8.110,7.802,4935.00,0.77,0.73,0.747,,2.87700,,,,0,-13.80,4.40,,,-0.100,,3.3500
642,2,3.93404000,0.050000,0.160000,,,40.59,40.59,8.960,8.686,5110.00,0.67,0.85,3.000,,6.35660,,,,0,49.31,4.40,,,0.200,,1.6700
643,2,567.94000000,1.282000,0.490000,,,40.59,40.59,8.960,8.686,5110.00,0.67,0.85,10.100,,104.30000,,,,0,49.31,4.40,,,0.200,,1.6700
644,1,1311.00000000,2.560000,0.070000,,,33.01,33.01,6.030,5.872,5999.00,1.30,,19.600,,400.40000,,,,0,-1.10,4.15,,,0.244,3.000,5.8000
645,1,1334.28000000,2.497000,0.317000,,,26.71,26.71,6.057,5.883,5909.00,1.17,1.39,39.080,,706.53609,,,,0,-2.70,4.19,,,0.200,4.750,2.5000
646,1,148.60001000,0.610000,0.380000,,,380.33,380.33,9.230,8.883,4639.00,0.81,9.83,50.000,,333.72150,,,,0,-16.45,2.36,,,-0.170,,2.6000
647,1,118.45000000,0.460000,0.370000,,,36.70,36.70,8.094,7.916,5399.00,0.74,0.93,30.900,,181.16310,,,,0,30.70,4.37,,,0.270,,1.4000
648,2,22.67860000,0.145500,0.120000,,,32.38,33.29,7.950,7.757,5430.00,0.80,,2.200,,8.23000,,,,0,39.52,4.37,-0.208,,0.000,,1.6000
649,2,53.73570000,0.258600,0.070000,,,32.38,33.29,7.950,7.757,5430.00,0.80,,3.440,,17.37000,,,,0,39.52,4.37,-0.208,,0.000,,1.6000
650,2,7.12682000,0.080000,0.130000,,,20.07,20.07,6.160,5.955,5622.00,1.00,1.11,139.200,,413.17900,,,,0,-14.00,4.34,,,0.360,,0.0000
651,2,4270.00000000,5.320000,0.517000,,,20.07,20.07,6.160,5.955,5622.00,1.00,1.11,35.700,,826.32000,,,,0,-14.00,4.34,,,0.360,,0.0000
652,2,7.78993000,0.069500,,88.900,31.93000,16.33,16.33,7.870,7.679,4640.00,0.73,0.69,1.430,701,3.70000,0.892,,0.1047917,0,59.46,4.61,-0.686,3.0300,0.003,3.800,
653,1,1319.00000000,2.380000,0.400000,,,54.80,55.57,7.800,7.636,5966.00,1.02,1.27,261.000,,4131.62000,,,,0,9.98,4.35,0.276,,-0.135,7.600,1.4000
654,1,3501.30000000,4.560000,0.762100,,,65.90,65.90,8.520,8.321,5544.00,1.03,1.21,439.000,,6865.12800,,,,0,7.45,,0.100,,0.260,7.590,
655,1,225.70000000,0.690000,0.300000,,,28.85,28.85,8.628,8.274,4730.00,0.76,0.85,8.300,,63.56600,,,,0,-37.80,4.46,,,0.280,,0.0000
656,1,5501.00000000,6.220000,0.770000,,,29.21,29.21,6.120,5.905,5362.00,1.05,1.91,181.400,,3302.11000,,,,0,-30.87,4.00,0.425,,-0.130,8.900,1.4600
657,6,3.09292600,0.038760,0.000000,85.050,6.34000,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,2.381,1015,4.74000,1.602,0.035800,0.0393750,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
658,6,6.76458000,0.065300,0.062000,87.280,6.95000,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,1.697,782,4.36000,1.511,0.031800,0.0691667,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
659,6,46.85900000,0.237000,0.138000,,,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,3.340,411,16.17000,1.610,,,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
660,6,22.71700000,0.146300,0.148000,,,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,1.920,523,7.30000,1.310,,,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
661,6,94.20000000,0.375300,0.000000,,,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,1.800,,10.80622,,,,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
662,6,2247.00000000,3.110000,0.060000,,,6.53,6.53,5.570,5.208,4699.00,0.81,0.78,6.100,,108.06220,,,,0,-18.42,4.57,-0.577,2.4380,0.110,11.000,0.4000
663,1,2093.30000000,3.200000,0.400000,,,165.97,165.97,8.940,8.597,4820.00,1.00,2.90,18.200,,317.83000,,,,0,-83.37,3.51,0.620,,-0.040,,
664,1,6.03607000,0.063560,0.000000,86.380,0.87000,94.43,94.43,,9.650,5527.00,0.92,1.03,6.170,1073,16.60000,4.710,,0.0899167,0,-20.10,4.40,,,0.040,10.000,2.2000
665,2,3.83492000,0.050700,0.101000,,,73.27,73.27,8.040,7.883,5807.00,1.18,1.61,7.730,,20.97678,,,,0,-24.03,,0.420,,0.180,5.690,2.9000
666,2,4682.00000000,5.790000,0.810200,,,73.27,73.27,8.040,7.883,5807.00,1.18,1.61,270.700,,4640.31800,,,,0,-24.03,,0.420,,0.180,5.690,2.9000
667,1,672.09998000,1.600000,0.140000,,,327.41,327.41,6.400,5.609,3787.00,2.20,54.92,230.800,,5288.69120,,,,0,-36.89,1.30,,,-0.250,,3.0000
668,1,1728.00000000,2.729000,0.187000,,,64.53,64.53,9.000,8.745,5683.00,0.91,0.98,3.780,,63.56600,,,,0,-40.39,4.42,,,-0.550,10.165,1.5000
669,1,2266.40000000,3.396000,0.054000,,,46.94,46.94,7.795,7.594,5921.00,1.02,1.07,17.120,,355.33394,,,,0,12.19,4.36,,,-0.070,4.586,2.3000
670,1,3724.70000000,4.940000,0.510000,,,49.00,50.58,7.093,6.946,5940.00,1.16,,20.000,,460.80000,,,,0,-38.00,4.24,,,0.090,4.400,3.0000
671,1,218.47000000,0.740000,0.404000,,,62.50,64.77,7.990,7.834,5960.00,1.13,,108.100,,1010.69940,,,,0,-22.57,4.24,,,-0.170,,3.4000
672,1,456.10000000,1.250000,0.080000,,,56.01,56.01,7.807,7.682,6304.00,1.25,,71.000,,982.05000,,,,0,-21.60,4.43,0.220,,-0.030,1.300,9.0000
673,1,14.27670000,0.122800,0.115000,85.750,0.43100,95.08,95.80,8.146,7.908,5080.00,1.21,2.94,14.100,,60.50000,9.170,,,0,25.29,3.58,0.712,0.0670,-0.080,4.900,2.8000
674,1,22482.00000000,18.500000,0.420000,,,31.17,31.17,5.810,5.641,5830.00,1.67,,54.700,,3082.95100,,,,0,26.51,4.08,,,0.290,,2.8000
675,1,1173.00000000,2.306000,0.123000,,,55.94,55.94,7.465,7.281,5620.00,1.19,,27.900,,511.70630,,,,0,6.43,4.05,0.422,,0.290,6.200,3.7000
676,1,871.00000000,1.830000,0.080000,,,91.39,91.39,7.459,7.188,4806.00,1.07,4.10,31.900,,495.81480,,,,0,25.67,3.31,0.929,,0.050,,
677,1,3999.00000000,5.140000,0.160000,,,50.68,50.68,7.114,6.936,5701.00,1.21,1.85,24.200,,673.79960,,,,0,-43.99,3.99,,,-0.180,,3.2000
678,1,572.38000000,1.340000,0.730000,,,42.21,42.21,7.680,7.519,5790.00,1.12,1.13,276.300,,2660.23710,,,,0,11.50,4.38,,,0.010,,2.3000
679,1,1189.10000000,2.280000,0.464000,,,79.24,79.24,8.060,7.922,6097.00,1.34,1.54,107.000,,1897.44510,,,,0,-11.00,4.19,0.470,,0.270,2.000,3.9000
680,1,26.69040000,0.191000,0.104000,,,93.75,93.75,8.230,8.085,5894.00,1.31,1.93,39.960,,222.48100,,,,0,1.50,,0.610,,0.270,4.120,3.5000
681,1,528.07000000,1.167000,0.819100,,,32.63,32.63,8.766,8.524,5027.00,0.75,,726.400,,4338.20000,,,,0,8.25,4.60,,,-0.370,4.800,1.7300
682,1,730.59998000,1.600000,0.100000,,,33.49,33.49,7.120,6.962,5974.00,1.12,1.07,54.900,,829.53630,,,,0,0.50,4.43,,,-0.130,,2.9900
683,1,1211.17000000,2.370000,0.406000,,,94.11,94.11,8.576,8.420,5843.00,1.21,1.49,27.720,,485.32641,,,,0,21.90,4.15,,,0.290,4.508,3.3000
684,1,141.63000000,0.567000,0.130000,,,109.22,109.22,8.970,8.831,6101.00,1.21,1.53,39.200,,359.14790,,,,0,-63.36,,0.470,,0.050,3.430,4.0000
685,1,192.00000000,0.747000,0.050000,,,868.63,868.63,10.406,10.105,4791.00,1.50,10.90,177.800,,2089.64400,,,,0,-73.75,2.55,1.750,,-0.360,2.400,2.0000
686,1,2058.00000000,2.827000,0.359000,,,58.84,58.84,10.146,9.946,4981.00,0.71,0.68,38.290,,565.73740,,,,0,-65.61,4.49,,,-0.660,5.417,0.8000
687,2,17.66700000,0.121000,0.000000,,,39.08,39.08,9.724,9.385,,0.75,0.73,5.330,,17.92000,,,,0,34.22,,-0.636,,,,
688,2,29.62500000,0.170000,0.000000,,,39.08,39.08,9.724,9.385,,0.75,0.73,4.290,,17.18000,,,,0,34.22,,-0.636,,,,
689,1,1561.00000000,2.770000,0.270000,,,52.08,52.08,7.244,7.104,6040.00,1.47,1.53,127.000,,2870.00490,,,,0,-10.20,4.23,,,0.280,,4.2000
690,1,4100.00000000,5.700000,0.560000,,,527.24,527.24,8.790,8.497,4769.00,1.47,12.73,71.000,,1906.98000,,,,0,-6.72,2.37,1.850,,-0.250,,2.5000
691,1,501.75000000,1.160000,0.150000,,,142.86,376.37,8.330,7.645,4297.00,0.82,,161.890,,1655.82000,,,,0,8.80,2.31,1.550,,-0.180,,1.0000
692,1,745.70001000,1.920000,0.400000,,,958.16,958.16,8.190,7.493,3926.00,8.76,71.23,91.500,,5050.31870,,,,0,-24.43,1.67,,,-0.250,,
693,1,3668.00000000,4.920000,0.040000,,,46.68,46.68,7.493,7.335,5802.00,1.11,1.30,47.400,,1226.82380,,,,0,-9.90,4.26,,,0.190,,2.3900
694,1,535.59998000,1.290000,0.350000,,,302.86,302.86,6.750,6.173,4052.00,1.61,40.00,251.000,,4096.82870,,,,0,-45.28,1.44,,,-0.490,,3.5000
695,1,2.04550000,0.034000,0.220000,,,54.99,54.99,7.564,,6034.00,1.22,,5.400,,11.80000,,,,0,27.94,,,,,,6.0000
696,1,6019.32000000,6.190000,0.390000,,,37.47,37.47,8.870,8.599,5160.00,0.86,0.83,60.100,,1423.87840,,,,0,28.15,4.40,,,0.040,4.000,3.4850
697,1,1802.29000000,2.971000,0.042000,,,55.70,55.70,7.782,7.638,6125.00,1.08,1.23,14.560,,290.81445,,,,0,43.60,4.26,,,-0.120,4.802,1.0000
698,1,3.44420000,0.040000,0.000000,,,55.05,55.05,9.375,9.193,5186.00,0.77,0.94,67.400,,133.48860,,,,0,9.63,4.38,,,0.130,,1.1000
699,1,4.12688000,0.056800,0.091000,89.252,,197.98,197.98,,9.520,6801.00,1.43,1.56,117.400,2061,371.86110,16.141,,,0,3.64,4.21,0.668,,0.020,1.310,15.4000
700,1,42.37800000,,0.040000,,,5.04,5.04,4.430,4.107,5072.00,0.78,0.87,1.810,,8.47000,,,,0,-43.00,4.45,,,-0.420,6.900,0.5000
701,1,428.10000000,1.271000,0.060000,,,18.28,18.28,4.440,4.064,4846.00,1.23,,32.200,,495.80000,,,,0,29.20,3.78,,,0.420,,2.8000
702,1,2198.14000000,3.242000,0.141000,,,50.36,50.36,8.243,8.085,5737.00,0.94,0.92,24.510,,474.83802,,,,0,21.11,4.46,,,-0.120,4.010,1.3400
703,3,18.02000000,0.125000,0.047000,,,43.88,43.88,9.349,9.066,,0.80,,59.800,,211.35695,,,,0,82.90,,,,0.300,,1.5000
704,3,36.07000000,0.198000,0.015000,,,43.88,43.88,9.349,9.066,,0.80,,11.570,,51.48846,,,,0,82.90,,,,0.300,,1.5000
705,3,5174.00000000,5.448000,0.389000,,,43.88,43.88,9.349,9.066,,0.80,,79.760,,1721.04945,,,,0,82.90,,,,0.300,,1.5000
706,1,379.00000000,1.020000,0.050000,,,39.43,39.43,7.810,7.627,5662.00,1.02,1.03,163.500,,1875.19700,,,,0,49.60,4.42,,,0.230,,3.0000
707,1,1116.00000000,2.150000,0.810000,,,54.70,55.38,7.684,7.500,5664.00,1.06,1.48,37.300,,368.67000,,,,0,-9.31,4.12,0.340,,0.060,,2.5000
708,1,6.08810000,0.060000,0.090000,,,45.09,45.09,10.267,10.040,4503.00,0.82,0.69,125.800,,311.47340,,,,0,38.15,4.67,,,0.130,,3.2000
709,1,8.78360000,0.066000,0.000000,,,9.47,9.47,10.038,9.000,3679.00,0.45,0.45,4.120,450,8.40000,,,,0,26.41,,-1.472,,0.150,,0.8000
710,1,380.20000000,1.180000,0.149000,,,190.92,190.92,8.380,8.055,4972.00,1.53,6.48,32.900,,490.09386,,,,0,61.77,3.06,,,,,2.9700
711,1,1362.30000000,2.280000,0.459000,,,31.02,31.02,7.760,7.586,5560.00,0.85,0.85,56.400,,762.79200,,,,0,-0.20,4.44,,,-0.240,7.400,2.7000
712,1,2443.00000000,3.430000,0.080000,,,56.52,56.52,8.990,8.804,5505.00,0.84,0.95,41.300,,772.32690,,,,0,29.56,4.41,,,-0.140,,1.4400
713,1,311.60001000,1.230000,0.130000,,,110.45,110.45,5.922,5.628,4844.00,1.97,10.76,26.300,,435.42710,,,,0,-34.86,2.67,,,0.000,,1.9200
714,2,2527.83000000,3.704000,0.162000,,,55.68,55.68,8.397,8.215,5607.00,1.05,1.02,125.980,,2740.33026,,,,0,63.10,4.42,,,0.390,2.525,2.9600
715,2,11613.00000000,9.890000,0.220000,,,55.68,55.68,8.397,8.215,5607.00,1.05,1.02,70.800,,2415.50800,,,,0,63.10,4.42,,,0.390,2.525,2.9600
716,1,1157.00000000,2.340000,0.760000,,,26.18,26.18,5.780,5.600,5882.00,1.12,1.61,33.700,,387.75260,,,,0,77.24,4.07,,,0.200,,4.1000
717,1,1684.00000000,2.690000,0.180000,,,57.10,58.18,9.110,8.907,5400.00,0.92,0.91,8.600,,149.37000,,,,0,65.80,4.37,,,0.130,4.800,1.7000
718,1,847.00000000,1.850000,0.061000,,,131.70,131.70,7.910,7.658,4895.00,1.17,4.40,29.900,,491.68301,,,,0,35.71,3.20,,,,,2.8500
719,1,466.00000000,1.260000,0.300000,,,58.24,58.24,7.133,6.985,6130.00,1.70,1.75,12.000,,197.05460,,,,0,12.10,4.18,,,0.170,,3.8000
720,3,16.55350000,0.125400,0.100000,,,38.57,38.49,7.490,7.332,5898.00,0.96,,2.720,,10.47000,,,,0,25.66,4.45,0.079,,-0.170,,1.9000
